yyyyddd,Central_Arctic
2017334,3190243.9
2017335,3187462.92
2017336,3181678.55
2017337,3176838.15
2017338,3164264.22
2017339,3162820.02
2017340,3163752.14
2017341,3166995.61
2017342,3166995.61
2017343,3160008.79
2017344,3161030.13
2017345,3166988.51
2017346,3168886.33
2017347,3166365.08
2017348,3169998.24
2017349,3167801.97
2017350,3175941.35
2017351,3180037.98
2017352,3177730.92
2017353,3179587.91
2017354,3166473.58
2017355,3154554.54
2017356,3150978.4
2017357,3157552.18
2017358,3155786.62
2017359,3162318.34
2017360,3161790.15
2017361,3167114.89
2017362,3175560.56
2017363,3175560.56
2017364,3188590.92
2017365,3191829.87
2018001,3190876.62
2018002,3185538.13
2018003,3190318.14
2018004,3193098.64
2018005,3200658.02
2018006,3202407.41
2018007,3204477.39
2018008,3203444.58
2018009,3204222.26
2018010,3197122.23
2018011,3197849.38
2018012,3194915.38
2018013,3194915.38
2018014,3194915.38
2018015,3183410.04
2018016,3180538.46
2018017,3176556.67
2018018,3165371.07
2018019,3162277.09
2018020,3159314.71
2018021,3151069.92
2018022,3165311.69
2018023,3158218.68
2018024,3149541.46
2018025,3145752.45
2018026,3156669.24
2018027,3167781.5
2018028,3176944.88
2018029,3169063.75
2018030,3177153.74
2018031,3185361.81
2018032,3191834.26
2018033,3195177.14
2018034,3195177.14
2018035,3170998.6
2018036,3149708.49
2018037,3150255.82
2018038,3125213.93
2018039,3133521.85
2018040,3130927.12
2018041,3127794.29
2018042,3121092.24
2018043,3109450.92
2018044,3117138.69
2018045,3132384.66
2018046,3132384.66
2018047,3144837.11
2018048,3156189.06
2018049,3160848.81
2018050,3154883.32
2018051,3155498.12
2018052,3150711.92
2018053,3147032.1
2018054,3143482.14
2018055,3126959.01
2018056,3084320.2
2018057,3076431.39
2018058,3057727.26
2018059,3065343.58
2018060,3087924.5
2018061,3115084.07
2018062,3126562.21
2018063,3144731.05
2018064,3151435.19
2018065,3161315.56
2018066,3153231.49
2018067,3150523.2
2018068,3159609.09
2018069,3169618.82
2018070,3170781.91
2018071,3173156.74
2018072,3167423.19
2018073,3172400.28
2018074,3175908.95
2018075,3167893.66
2018076,3156508.12
2018077,3131905.78
2018078,3124853.79
2018079,3137956.24
2018080,3147368.13
2018081,3156814.47
2018082,3158923.13
2018083,3162040.8
2018084,3167806.59
2018085,3171028.47
2018086,3172847.64
2018087,3178204.09
2018088,3187841.57
2018089,3193765.15
2018090,3202912.36
2018091,3211316.56
2018092,3201863.18
2018093,3198795.53
2018094,3200994.57
2018095,3206443.27
2018096,3207418.85
2018097,3206717.37
2018098,3213775.09
2018099,3210021.67
2018100,3204100.77
2018101,3208634.58
2018102,3208321.21
2018103,3211677.37
2018104,3201009.02
2018105,3208172.93
2018106,3226502.31
2018107,3204204.4
2018108,3198237.29
2018109,3204952.68
2018110,3209349.35
2018111,3228738.87
2018112,3220074.8
2018113,3209324.74
2018114,3217349.51
2018115,3224051.03
2018116,3223319.97
2018117,3222561.54
2018118,3218803.94
2018119,3222275.31
2018120,3219880.95
2018121,3221365.7
2018122,3221276.14
2018123,3219205.49
2018124,3217206.19
2018125,3208008
2018126,3196614.14
2018127,3174021.15
